id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	created_at
199	ihõna		S	folha						
200	ihono		S	larva (termo genérico)						
201	ihose		S	coxa						
202	ihõse		S	mutuca		Família: Tabanidae	https://pt.wikipedia.org/wiki/Tabanídeos	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Daas_op_been_%28omgeving_Goor%29.jpg/800px-Daas_op_been_%28omgeving_Goor%29.jpg		
203	ikatese		S	dente						
204	ikehi			fraco						
205	ikeilitala		S	joelho						
206	iketa		PRON	o quê?						
207	ikewala		ADV	de outro modo						
208	ikexari		S	entrada						
209	ikianawe		NUM	dois						
210	ikiano		S	braço						
211	ikianotata		S	ombro						
212	ikiari		ADV	assim, igual						
213	ikiarita		ADV	é assim						
214	ikiata		V	afirmar						
215	ikiaxixi			pouco						
216	ikiñoliti		S	tornozelo						
217	ikixi		S	pé			https://pt.wikipedia.org/wiki/Pé	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Стопа.png/500px-Стопа.png		
218	iniakahare		S	animal (termo genérico)						
219	iniriti		S	costas						
220	inõti		S	não indígena						
221	irikiatihi		S	isqueiro			https://pt.wikipedia.org/wiki/Isqueiro	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Zippo-Slim-1968-Lit.jpg/500px-Zippo-Slim-1968-Lit.jpg		
222	irikota		V	cortar madeira						
223	itawaserati		S	costas						
224	ixine		S	onça			https://pt.wikipedia.org/wiki/Panthera_onca	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG/960px-Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG		
225	kailiti		S	nariz	nokali kaweina noheye = meu nariz está doendo			https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Neus1.jpg/500px-Neus1.jpg		
226	kaira		S	floresta	awali holi ekione kaira ekione kaxata hane nodane = hoje eu foi numa floresta muito bonita			https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/A_vista_de_cima_do_Pico.jpg/2560px-A_vista_de_cima_do_Pico.jpg		
227	kalitalati		S	joelho	nokalitali kawena noheye = meu joelho está doendo					
228	kalo		S	arara						
229	kalokano		S	pena	kalokano okoli kanohañali = a pena de arara é para fazer flecha					
230	kamaneti / kamati/mani		S	morte	mamalo hola kaxolo mani  = o cachorro da minha mãe está morto					
231	kame		S	sol			https://pt.wikipedia.org/wiki/Sol	https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/The_Sun_in_white_light.jpg/960px-The_Sun_in_white_light.jpg		
232	kanase		S	boca						
233	kanaseti		S	boca	nokanase heye notalokwe = eu mordo meu lábio					
234	kanotonowerati		S	cotovelo	mamalo kanotonera kalosali =  o cotovelo da minha mãe está machucado					
235	kaseti		S	perna	nokase takioha = minha perna está quebrada					
236	katala			azedo						
237	katerokwa		V	pular	hekiaterokwa = você pular					
238	kaweira		V	mato	noheroñali kohesetikwene kotaha dane = meu amigo foi cagar no mato					
239	kaxata		ADV	muito						
240	kaxolo		S	cachorro	kaxolo kenase = cachorro é um animal					
241	kayali		S	pacu		Família: Myleinae	https://pt.wikipedia.org/wiki/Pacu	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Pacu_shedd.jpg/960px-Pacu_shedd.jpg		
242	kayanetoli			casar(-se)	kahaka yowali kayaneto = ontem meu irmão se casou					
243	kayi		S	lua	hakaikeyowa kaye hikoita = a lua nasce de anoite			https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FullMoon2010.jpg/960px-FullMoon2010.jpg		
244	kayolohe		S	areia	kayolowekwa nodane = vou para praia					
245	kekero		S	titia	kekero nani nohatowata = eu fui na casa da minha titia					
246	ketera		S	mingau de mandioca						
247	ketese		S	mandioca						
248	kexeti		S	pé	Oloho hakexi erekiota = Oloho se cortou no pé					
249	kexeti enolisewe		S	polegar	ahero kexi enolise kawena heye = o dedão do pé da minha avó está doendo					
250	keya			preto	keya holi hiyeta nowane =  você me devolveu o preto (falando de allo específico)			https://upload.wikimedia.org/wikipedia/commons/8/81/Color_icon_black.png		
251	kiahekõti		S	bravo						
252	kirikwaliti			raiva						
253	kiye			preto						
254	kohase		S	peixe						
255	kokohi kararanaserohi		S	paca						
256	kolakala			ser velho						
257	kolaketiwali akwa		V	contar (história)	atoli kolakitiwali akwa noheye = meu avô me contar  a  história					
258	kolito		S	milho						
259	kolixihi		S	caxinguelê		Guerlinguetus brasiliensis	https://pt.wikipedia.org/wiki/Guerlinguetus_brasiliensis	https://pt.wikipedia.org/wiki/Guerlinguetus_brasiliensis		
260	kolohi		S	bico-doce (calango)		Ameiva ameiva	https://pt.wikipedia.org/wiki/Ameiva_ameiva	https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Ameiva_ameiva_by_Dario_Sanches.jpg/960px-Ameiva_ameiva_by_Dario_Sanches.jpg		
261	kololohi		S	cutia						
262	kolowaili		S	piqui						
263	konahõ		S	anu-preto		Crotophaga ani	https://pt.wikipedia.org/wiki/Anu-preto	https://upload.wikimedia.org/wikipedia/commons/e/e0/Anu_preto_130506_cropped.jpg		
264	konohe			algodão			https://pt.wikipedia.org/wiki/Algodão	https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Cotton_-_പരുത്തി_03.JPG/500px-Cotton_-_പരുത്തി_03.JPG		
265	kotaha		V	cagar				https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tayassu_tajacu.jpg/330px-Tayassu_tajacu.jpg		
266	kotaha		V	defecar						
267	lolate		S	cesto	kokoli ehasana nato lolate owaka heye = meu tio está me ensinando fazer cesto					
268	mahakakalo		S	mulher virgem	mahiata eita aweitaloti  ahakaliwala = aquela mulher não ainda não teve relação sexual					
269	mahesiti			banco						
270	mahia wexo ikiaoli wala		S	pessoa (não indígena)	mahia wexo ekiaõli wala = a pessoa não indígena é pessoa branca					
271	mahiatanali			sempre						
272	maihiakerawaita		S	nunca	maihiakerawaita notoitamali aeli = nunca mais vou voltar aqui			https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Nape.jpg/960px-Nape.jpg		
273	maihiatawaita		S	nunca	maihiatawaita heheronali toheitamali aeli = acredito que os amigos deles nunca mais vai voltar			https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Nape.jpg/960px-Nape.jpg		
274	makolali			vazio						
275	makoyanalo		S	mulher virgem						
276	malola		S	tatu						
277	mamalo		S	mãe	mamalo hakolone = casa da minha mãe					
278	mamexiñalikatiyali		S	maudoso						
279	mana			amargo						
280	mañakalo		S	virgem	mahakakalo = mulher virgem					
281	mani		V	morrer	nohonani mani nohetalikwanita = minha planta morreu na minha roça					
282	maoritili			último						
283	maratiyali		S	medroso						
284	mayana			estar/ser solteiro						
285	mekia		S	noite	kahaka hakakeyowa, yowali tiyena = ontem à noite meu irmão mais novo estava chorando					
286	mekiako		ADJ	escuro	mekiako kaxata wehakolone = nossa casa está escura					
287	meñakalo		S	virgem	meñakalo kaxata eita aweitaloti = aquela moça é virgem					
288	menese		S	sucuri		Género: Eunectes	https://pt.wikipedia.org/wiki/Sucuri	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Eunectes_murinus2.jpg/700px-Eunectes_murinus2.jpg		
289	miñolakwalo		S	campo						
290	muñakalõ		S	virgem						
291	netaiti		S	colar	nodase netaxi olawali owakaixakahi = o colar do meu sobrinho é feito de tucum					
292	newa		V	dizer	haitã kera nowe hehiye = eu já disse para você					
293	nexexati		S	piolho	akotekaxata nowatoli nexexa = meu cunhado tem muito piolho					
294	niwasero		S	sogra						
295	niwatoke		S	sogro						
296	nokano tokoli		S	ombro	nokano toli kawena = meu  ombro está doendo					
297	nokiasale			cansado						
298	okakohã		V	subir	hixo, hekokwaha heyane = você vai subir					
299	okoli		S	flecha				https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/E38_p36.jpg/500px-E38_p36.jpg		
300	ola		S	corda						
301	olati		S	alimento	olati nowa nodane cidadekwaneta = vou buscar alimentação na cidade					
302	olho		S	doseti						
303	oloiti		S	bebida de mandioca						
304	olokoiri		S	estojo peniano					Recebido a partir da puberdade.	
305	olokwa		V	abrir						
306	olotawa		S	papagaio	olotawa etane ataira tokako = o filhote de papaio está no alto de uma árvore			https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Amazona_amazonica_%281%29.jpg/500px-Amazona_amazonica_%281%29.jpg		
307	one		S	água	one notera nolani = eu vou beber água			https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/2006-02-13_Drop-impact.jpg/500px-2006-02-13_Drop-impact.jpg		
308	one		S	rio	wakowalana hane noheroñali nawe kakwa one erolaka dayowa =  hoje fomos banhar com meus amigos no rio			https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Juruena_River_2009.jpg/500px-Juruena_River_2009.jpg		
309	onewina		S	rio						
310	onewiña		S	rio	namerataha nodane = vou pescar no rio					
311	otai		S	montanha	otai tolikwa naokone = coloquei na montanha			https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Pico_da_Neblina.jpg/500px-Pico_da_Neblina.jpg		
312	otati		S	unha	natonahaline holixika noti alatowa =  eu estava andando e a minha unha quebrou					
313	owiro		S	mulher	owiro nawe hitikwa denaha = as mulhares foi na roça					
314	owita		S	capivara		Hydrochoerus hydrochaeris	https://pt.wikipedia.org/wiki/Capivara	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Hydrochoeris_hydrochaeris_in_Brazil_in_Petrópolis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg/330px-Hydrochoeris_hydrochaeris_in_Brazil_in_Petrópolis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg		
315	owiwarikwali		S	alegria						
316	oxekia			amarelo	naxekiatowana oxekiali kakwa = estou pintando com urucum amarelo			https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Color_icon_yellow.svg/500px-Color_icon_yellow.svg.png		
317	saili		S	pedra						
318	sane		V	querer	ere sane alotowa karakotowa = ele quer pintar seu próprio rosto					
319	sewaliti		S	cabelo	nesewali yolalihi = o meu cabelo está despenteado (bagunçado)					
320	sotairiloti		S	pajé					Tem o poder de se transportarem para outras realidades.	
321	sotairiti		S	pajé					Tem o poder de se transportarem para outras realidades.	
322	ta		S	rede (de dormir) --						
323	tahoto		S	queixada		Tayassu pecari	https://pt.wikipedia.org/wiki/Queixada	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Tayassu_pecari_-Brazil-8.jpg/330px-Tayassu_pecari_-Brazil-8.jpg		
324	takwana		S	chuva	takwana weheye holidema xikia maiha weseokwali wala			https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Hard_rain_on_a_roof.jpg/960px-Hard_rain_on_a_roof.jpg		
325	takwase		V	quebrar (ex.: pena, flecha, panela)						
326	talaseti		S	pênis	werose kaxata xikia = Nosso pênis é muito grande					
327	taliti		S	testa	nalotakariakotowa notalikwi = vou pintar minha testa					
328	tekwa		S	fugir						
329	tenedowatidowa		S	ouvido	notenedowe dowa kawena noheye = meu ouvido está doendo					
330	tera		V	beber	kairiya notera = bebo chicha de milho					
331	tetasero		S	inhame						
332	téwe		S	anta		Tapirus terrestris	https://pt.wikipedia.org/wiki/Anta	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/South_American_tapir_%28Tapirus_terrestris%29.JPG/500px-South_American_tapir_%28Tapirus_terrestris%29.JPG		
333	tewena			pesado	hane howaxati nowa nodani laka aola kaxata = hoje eu foi busquei a lenha é muito leve					
334	ti		S	rede (de dormir) --						
335	tiana		S	folha	mamalo tana eyowadane = a minha mãe foi buscar folha			https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Ulistnienie.svg/450px-Ulistnienie.svg.png		
336	tikolati		S	peito						
337	timene			pesado						
338	tiolati		S	sangue						
339	tiraware		S	vida intra-uterina						
340	tohe		S	cesto						
341	toli		S	cachoeira						
342	tolikase		S	tucano	tolikase hane erawiñakase hetalatikwa = um tucano estáva cantando na roça	Família: Ramphastidae	https://pt.wikipedia.org/wiki/Tucano	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Tucanobicolaranja.jpg/500px-Tucanobicolaranja.jpg		
343	torilori		S	abelha						
344	totehe		S	terra						
345	toto		S	seio			https://pt.wikipedia.org/wiki/Mama	https://upload.wikimedia.org/wikipedia/commons/7/77/Breasts_of_a_woman.jpg		
346	towalio kasali		S	caninana		Spilotes pullatus	https://pt.wikipedia.org/wiki/Spilotes_pullatus	https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Caninana_%28Spilotes_pullatus%29_-_Foto_Antonio_Bordignon.jpg/960px-Caninana_%28Spilotes_pullatus%29_-_Foto_Antonio_Bordignon.jpg		
